,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_lambdarank_num_pair_per_sample,params_learning_rate,params_max_depth,params_subsample,state
28,28,0.4213928201854558,2024-05-16 13:10:51.650902,2024-05-16 13:11:50.138347,0 days 00:00:58.487445,0.5884555445853439,2,0.12867003652542042,10,0.80905025744966,COMPLETE
29,29,0.421075400404239,2024-05-16 13:11:50.139395,2024-05-16 13:12:50.844817,0 days 00:01:00.705422,0.5878972099957173,3,0.12721915698200467,10,0.7290104788381352,COMPLETE
30,30,0.42078768917099185,2024-05-16 13:12:50.845240,2024-05-16 13:13:56.140741,0 days 00:01:05.295501,0.6616404870271725,5,0.10491507557150768,10,0.7971817763869711,COMPLETE
31,31,0.4213313895854922,2024-05-16 13:13:56.141275,2024-05-16 13:14:52.798405,0 days 00:00:56.657130,0.5341163694514093,2,0.16912518709876911,10,0.8543497123242274,COMPLETE
32,32,0.4213717264434071,2024-05-16 13:14:52.798830,2024-05-16 13:15:48.699032,0 days 00:00:55.900202,0.5387304452687743,2,0.152113294298864,10,0.8811866663135957,COMPLETE
33,33,0.4210628743468235,2024-05-16 13:15:48.699436,2024-05-16 13:16:48.689017,0 days 00:00:59.989581,0.5408792256985481,3,0.14637545557573536,10,0.8855142442391408,COMPLETE
34,34,0.4213726122701536,2024-05-16 13:16:48.689465,2024-05-16 13:17:46.055256,0 days 00:00:57.365791,0.5965888667336063,2,0.16106589209199218,10,0.9150745257213935,COMPLETE
35,35,0.42108820760177484,2024-05-16 13:17:46.055702,2024-05-16 13:18:46.901233,0 days 00:01:00.845531,0.6970522330997109,3,0.13492290599636897,10,0.9147347049842534,COMPLETE
36,36,0.4204450761233493,2024-05-16 13:18:46.901642,2024-05-16 13:19:40.291070,0 days 00:00:53.389428,0.595255360889488,7,0.1526264077152941,4,0.9667842364988923,COMPLETE
37,37,0.4208273089289298,2024-05-16 13:19:40.292135,2024-05-16 13:20:34.048452,0 days 00:00:53.756317,0.6240881062499081,4,0.12886693492052506,7,0.9364551599624492,COMPLETE
38,38,0.42127944028589287,2024-05-16 13:20:34.048857,2024-05-16 13:21:33.108301,0 days 00:00:59.059444,0.7713933983620507,2,0.11433237700557294,10,0.8828370873642918,COMPLETE
39,39,0.4208678408909654,2024-05-16 13:21:33.108722,2024-05-16 13:22:35.024668,0 days 00:01:01.915946,0.7068392134773873,4,0.09086907325566299,9,0.8073599377001157,COMPLETE
40,40,0.4205503396801918,2024-05-16 13:22:35.025106,2024-05-16 13:23:27.204143,0 days 00:00:52.179037,0.6490551503869574,7,0.14340957245954258,4,0.9804423036026575,COMPLETE
41,41,0.4213788765501305,2024-05-16 13:23:27.204585,2024-05-16 13:24:22.435877,0 days 00:00:55.231292,0.529082745271287,2,0.16730840494569016,10,0.9041202104590337,COMPLETE
42,42,0.4213990986664657,2024-05-16 13:24:22.436337,2024-05-16 13:25:21.128229,0 days 00:00:58.691892,0.5898634391239373,2,0.16331540350491874,10,0.9046315700321794,COMPLETE
43,43,0.42110034752428993,2024-05-16 13:25:21.128751,2024-05-16 13:26:23.039167,0 days 00:01:01.910416,0.5715226296352742,3,0.16432876671383173,10,0.9374021255788813,COMPLETE
44,44,0.421174667120735,2024-05-16 13:26:23.039760,2024-05-16 13:27:19.390816,0 days 00:00:56.351056,0.59831178236051,2,0.1732352194494795,9,0.9181937897934996,COMPLETE
45,45,0.42115541035062043,2024-05-16 13:27:19.391235,2024-05-16 13:28:21.569719,0 days 00:01:02.178484,0.6390408895139571,3,0.16123823673697332,10,0.9034986699639226,COMPLETE
46,46,0.4213403911798857,2024-05-16 13:28:21.570136,2024-05-16 13:29:15.226615,0 days 00:00:53.656479,0.5274934654988059,2,0.06251251204347788,9,0.7368405118949767,COMPLETE
47,47,0.4213879334188351,2024-05-16 13:29:15.227062,2024-05-16 13:30:11.965165,0 days 00:00:56.738103,0.5807492308009483,2,0.1331872775057474,10,0.9576086161244995,COMPLETE
48,48,0.42100026836935067,2024-05-16 13:30:11.965568,2024-05-16 13:31:09.382507,0 days 00:00:57.416939,0.5230225496672564,3,0.13452484973885837,9,0.956418791521386,COMPLETE
49,49,0.42105073779085955,2024-05-16 13:31:09.382939,2024-05-16 13:32:03.557507,0 days 00:00:54.174568,0.7978613728241895,2,0.12448268577629676,8,0.9983681271719512,COMPLETE
