,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_lambdarank_num_pair_per_sample,params_learning_rate,params_max_depth,params_subsample,state
28,28,0.5727145657382575,2024-05-17 15:16:27.434147,2024-05-17 15:16:54.719656,0 days 00:00:27.285509,0.8223532783959986,3,0.057585799397836174,4,0.9107274553078654,COMPLETE
29,29,0.5672215455678882,2024-05-17 15:16:54.720066,2024-05-17 15:17:31.777557,0 days 00:00:37.057491,0.9044341784095862,6,0.03792302471785558,6,0.7634624589846923,COMPLETE
30,30,0.567881974513821,2024-05-17 15:17:31.778406,2024-05-17 15:18:10.995464,0 days 00:00:39.217058,0.9333141143058602,5,0.019469966843118264,8,0.9454620866737103,COMPLETE
31,31,0.5778539909337151,2024-05-17 15:18:10.995886,2024-05-17 15:18:38.606752,0 days 00:00:27.610866,0.8126856420569883,4,0.010021512431367039,3,0.9919665867869325,COMPLETE
32,32,0.573524766319018,2024-05-17 15:18:38.607170,2024-05-17 15:19:07.381848,0 days 00:00:28.774678,0.8736162949582027,4,0.032207268772442205,4,0.9799553267822605,COMPLETE
33,33,0.5824952142216803,2024-05-17 15:19:07.382295,2024-05-17 15:19:33.205493,0 days 00:00:25.823198,0.7809858505017382,3,0.013904786971647168,3,0.920165421462507,COMPLETE
34,34,0.5727423899997768,2024-05-17 15:19:33.205920,2024-05-17 15:20:02.590425,0 days 00:00:29.384505,0.7853531335286963,3,0.02033025149613315,6,0.92493837020988,COMPLETE
35,35,0.5739813522990186,2024-05-17 15:20:02.591262,2024-05-17 15:20:27.341744,0 days 00:00:24.750482,0.7116300989121971,2,0.08537794358788349,4,0.8893044004894424,COMPLETE
36,36,0.5676530995145849,2024-05-17 15:20:27.342162,2024-05-17 15:20:57.289619,0 days 00:00:29.947457,0.7289053225907638,3,0.13371841399477494,6,0.7126855543103572,COMPLETE
37,37,0.5780998504369027,2024-05-17 15:20:57.290446,2024-05-17 15:21:19.942729,0 days 00:00:22.652283,0.8441460271963436,2,0.036246850859604204,3,0.8724098396777834,COMPLETE
38,38,0.5727512815398572,2024-05-17 15:21:19.943133,2024-05-17 15:21:51.175813,0 days 00:00:31.232680,0.7599777795214561,3,0.05921863902709582,7,0.9394152757333804,COMPLETE
39,39,0.5665511296420505,2024-05-17 15:21:51.176759,2024-05-17 15:22:22.022870,0 days 00:00:30.846111,0.7869571389196846,5,0.15926198358413401,4,0.827007693713343,COMPLETE
40,40,0.5485849806681296,2024-05-17 15:22:22.023290,2024-05-17 15:23:25.218569,0 days 00:01:03.195279,0.652098508269005,8,0.022086244600440223,13,0.6295843661191369,COMPLETE
41,41,0.5774799008727355,2024-05-17 15:23:25.219007,2024-05-17 15:23:53.225909,0 days 00:00:28.006902,0.8199166480546057,4,0.010219230170461528,3,0.9726934968049764,COMPLETE
42,42,0.5774388632890263,2024-05-17 15:23:53.226336,2024-05-17 15:24:23.332309,0 days 00:00:30.105973,0.8861722568012773,4,0.019403183662414544,5,0.9186024936594834,COMPLETE
43,43,0.5754328079233156,2024-05-17 15:24:23.332723,2024-05-17 15:24:50.232928,0 days 00:00:26.900205,0.7333248585247425,3,0.030392470352616628,3,0.9998467910098386,COMPLETE
44,44,0.575069329968944,2024-05-17 15:24:50.233908,2024-05-17 15:25:22.053340,0 days 00:00:31.819432,0.8306234877851107,5,0.010228000192302286,4,0.8631844359797778,COMPLETE
45,45,0.5719503121506233,2024-05-17 15:25:22.053807,2024-05-17 15:25:54.758904,0 days 00:00:32.705097,0.7775624808841683,4,0.04718160533867791,6,0.9653938110201224,COMPLETE
46,46,0.574831936596182,2024-05-17 15:25:54.759761,2024-05-17 15:26:21.450528,0 days 00:00:26.690767,0.5055841203040438,2,0.030394404378181625,5,0.9042522695484827,COMPLETE
47,47,0.5743028135108197,2024-05-17 15:26:21.450958,2024-05-17 15:26:51.686187,0 days 00:00:30.235229,0.8548881719488053,5,0.04093003536560453,3,0.933844119601356,COMPLETE
48,48,0.5736151646247915,2024-05-17 15:26:51.687033,2024-05-17 15:27:21.753605,0 days 00:00:30.066572,0.8953147056936299,4,0.020756418562116845,4,0.543308856586302,COMPLETE
49,49,0.5716877385042571,2024-05-17 15:27:21.754021,2024-05-17 15:29:06.008036,0 days 00:01:44.254015,0.934944110932682,3,0.017828183161305376,15,0.7837695920668915,COMPLETE
